Date,BAC,CITI,GS,JPMC,MS,BAC_return,CITI_return,GS_return,JPMC_return,MS_return,,,
5/1/2017,20.88,54.38,224.91,77,39.13,-0.0119,-0.01768,-0.00749,-0.00918,-0.00916,,,
6/1/2017,20.88,54.57,228.25,77.01,39.7,0,0.00349,0.01474,0.00013,0.01446,,,
9/1/2017,20.76,54.27,226.38,77.06,38.67,-0.00576,-0.00551,-0.00823,0.00065,-0.02629,,,
10/1/2017,21.12,54.28,226.08,77.28,38.98,0.01719,0.00018,-0.00133,0.00285,0.00798,,,
11/1/2017,21.24,54.04,229.05,77.86,39.54,0.00567,-0.00443,0.01305,0.00748,0.01426,,,
12/1/2017,21.1,53.38,227.26,77.11,39.5,-0.00661,-0.01229,-0.00785,-0.00968,-0.00101,,,
13-01-2017,21.18,53.74,227.69,77.52,39.66,0.00378,0.00672,0.00189,0.0053,0.00404,,,
17-01-2017,20.3,52.62,219.71,74.71,38.16,-0.04244,-0.02106,-0.03568,-0.03692,-0.03856,,,
18-01-2017,20.83,51.72,218.36,75.06,38.8,0.02577,-0.01725,-0.00616,0.00467,0.01663,,,
19-01-2017,20.74,51.07,215.68,74.48,38.43,-0.00433,-0.01265,-0.01235,-0.00776,-0.00958,,,
20-01-2017,20.84,50.57,216.41,74.82,38.56,0.00481,-0.00984,0.00338,0.00455,0.00338,,,
23-01-2017,20.77,50.18,216.85,74.85,37.99,-0.00336,-0.00774,0.00203,0.0004,-0.01489,,,
24-01-2017,21.13,51.14,217.79,75.75,38.68,0.01718,0.01895,0.00433,0.01195,0.018,,,
25-01-2017,21.51,51.99,221.12,76.93,39.71,0.01782,0.01648,0.01517,0.01546,0.02628,,,
26-01-2017,21.58,51.7,223.29,77.57,39.85,0.00325,-0.00559,0.00977,0.00828,0.00352,,,
27-01-2017,21.5,51.47,220.84,77.73,39.7,-0.00371,-0.00446,-0.01103,0.00206,-0.00377,,,
30-01-2017,21.13,51.02,218,76.93,39.22,-0.01736,-0.00878,-0.01294,-0.01035,-0.01216,,,
31-01-2017,20.84,50.32,213.73,75.67,38.64,-0.01382,-0.01382,-0.01978,-0.01651,-0.0149,,,
1/2/2017,21.07,50.52,214.99,75.96,38.83,0.01098,0.00397,0.00588,0.00383,0.00491,,,
2/2/2017,20.91,50.6,214.75,75.64,38.32,-0.00762,0.00158,-0.00112,-0.00422,-0.01322,,,
3/2/2017,21.44,52.21,224.57,77.95,40.41,0.02503,0.03132,0.04471,0.03008,0.05311,,,
6/2/2017,21.28,52.1,223.67,77.59,40.59,-0.00749,-0.00211,-0.00402,-0.00463,0.00444,,,
7/2/2017,21.08,51.69,223.33,77.54,40.81,-0.00944,-0.0079,-0.00152,-0.00064,0.00541,,,
8/2/2017,20.87,50.91,221.57,76.86,39.93,-0.01001,-0.0152,-0.00791,-0.00881,-0.0218,,,
9/2/2017,21.28,51.75,225.13,77.97,40.79,0.01945,0.01637,0.01594,0.01434,0.02131,,,
10/2/2017,21.24,52.09,226.22,77.79,40.65,-0.00188,0.00655,0.00483,-0.00231,-0.00344,,,
13-02-2017,21.54,53.28,229.53,78.82,41.16,0.01403,0.02259,0.01453,0.01315,0.01247,,,
14-02-2017,22.15,54.08,232.5,80.08,41.87,0.02793,0.0149,0.01286,0.01586,0.0171,,,
15-02-2017,22.63,54.68,233.51,81,42.28,0.02144,0.01103,0.00433,0.01142,0.00974,,,
16-02-2017,22.63,54.57,232.48,80.95,41.94,0,-0.00201,-0.00442,-0.00062,-0.00807,,,
17-02-2017,22.57,54.39,233.36,80.68,41.97,-0.00265,-0.0033,0.00378,-0.00334,0.00072,,,
21-02-2017,22.81,54.73,234.64,81.38,42.34,0.01058,0.00623,0.00547,0.00864,0.00878,,,
22-02-2017,22.82,54.79,234.62,81.42,42.31,0.00044,0.0011,-0.00009,0.00049,-0.00071,,,
23-02-2017,22.63,54.79,234.11,81.49,42.36,-0.00836,0,-0.00218,0.00086,0.00118,,,
24-02-2017,22.3,53.83,230.53,80.77,41.41,-0.01469,-0.01768,-0.01541,-0.00887,-0.02268,,,
27-02-2017,22.62,54.25,232.38,80.86,41.69,0.01425,0.00777,0.00799,0.00111,0.00674,,,
28-02-2017,22.72,54.06,231.8,81.03,41.54,0.00441,-0.00351,-0.0025,0.0021,-0.0036,,,
1/3/2017,23.54,55.62,236.15,83.69,42.57,0.03546,0.02845,0.01859,0.0323,0.02449,,,
2/3/2017,23.29,54.8,234.6,82.39,42.09,-0.01068,-0.01485,-0.00659,-0.01566,-0.01134,,,
3/3/2017,23.49,55.14,236.31,82.98,42.59,0.00855,0.00619,0.00726,0.00714,0.01181,,,
6/3/2017,23.31,54.48,235.49,82.19,42.35,-0.00769,-0.01204,-0.00348,-0.00957,-0.00565,,,
7/3/2017,23.28,54.68,234.45,81.74,42.14,-0.00129,0.00366,-0.00443,-0.00549,-0.00497,,,
8/3/2017,23.32,55.23,233.84,81.56,42.19,0.00172,0.01001,-0.00261,-0.0022,0.00119,,,
9/3/2017,23.41,55.63,233.78,81.88,42.45,0.00385,0.00722,-0.00026,0.00392,0.00614,,,
10/3/2017,23.37,55.58,232.1,81.62,42.28,-0.00171,-0.0009,-0.00721,-0.00318,-0.00401,,,
13-03-2017,23.36,55.61,231.89,81.69,42.07,-0.00043,0.00054,-0.00091,0.00086,-0.00498,,,
14-03-2017,23.38,55.53,231.48,81.83,42.01,0.00086,-0.00144,-0.00177,0.00171,-0.00143,,,
15-03-2017,23.25,54.99,230.6,82.02,41.7,-0.00558,-0.00977,-0.00381,0.00232,-0.00741,,,
16-03-2017,23.29,55.27,231.95,81.94,42.14,0.00172,0.00508,0.00584,-0.00098,0.0105,,,
17-03-2017,22.95,54.57,227.95,81.08,40.94,-0.01471,-0.01275,-0.0174,-0.01055,-0.02889,,,
20-03-2017,22.57,53.86,226.27,80.5,40.55,-0.0167,-0.0131,-0.0074,-0.00718,-0.00957,,,
21-03-2017,21.25,52.46,217.73,78.14,38.8,-0.06026,-0.02634,-0.03847,-0.02976,-0.04412,,,
22-03-2017,21.18,52.22,215.92,78.27,38.39,-0.0033,-0.00459,-0.00835,0.00166,-0.01062,,,
23-03-2017,21.3,52.47,216.7,78.14,38.73,0.00565,0.00478,0.00361,-0.00166,0.00882,,,
24-03-2017,21.35,52.49,213.44,78.05,38.62,0.00234,0.00038,-0.01516,-0.00115,-0.00284,,,
27-03-2017,21.26,52.72,210.7,78.01,37.82,-0.00422,0.00437,-0.01292,-0.00051,-0.02093,,,
28-03-2017,21.68,53.71,214.3,79.22,38.64,0.01956,0.0186,0.01694,0.01539,0.02145,,,
29-03-2017,21.56,53.68,213.48,78.93,38.93,-0.00555,-0.00056,-0.00383,-0.00367,0.00748,,,
30-03-2017,22.04,54.69,216.06,79.61,39.5,0.02202,0.01864,0.01201,0.00858,0.01454,,,
31-03-2017,21.78,54.07,214.66,78.54,38.96,-0.01187,-0.0114,-0.0065,-0.01353,-0.01377,,,
3/4/2017,21.78,53.94,213.95,78.26,38.84,0,-0.00241,-0.00331,-0.00357,-0.00308,,,
4/4/2017,21.64,53.94,214.23,78.52,38.66,-0.00645,0,0.00131,0.00332,-0.00465,,,
5/4/2017,21.39,53.86,212.74,77.96,37.96,-0.01162,-0.00148,-0.00698,-0.00716,-0.01827,,,
6/4/2017,21.48,54.13,213.65,78.22,38.28,0.0042,0.005,0.00427,0.00333,0.00839,,,
7/4/2017,21.38,53.72,212.94,77.95,38.15,-0.00467,-0.0076,-0.00333,-0.00346,-0.0034,,,
10/4/2017,21.25,53.58,213.89,77.68,38.12,-0.0061,-0.00261,0.00445,-0.00347,-0.00079,,,
11/4/2017,21.16,53.35,212.81,77.54,37.82,-0.00424,-0.0043,-0.00506,-0.0018,-0.0079,,,
12/4/2017,20.91,52.88,210.95,77.24,37.35,-0.01189,-0.00885,-0.00878,-0.00388,-0.01251,,,
13-04-2017,20.63,52.46,208.68,76.34,37.01,-0.01348,-0.00797,-0.01082,-0.01172,-0.00914,,,
17-04-2017,21.06,53.32,211.43,77.66,37.73,0.02063,0.01626,0.01309,0.01714,0.01927,,,
18-04-2017,20.97,52.8,201.46,77.03,37.48,-0.00428,-0.0098,-0.0483,-0.00815,-0.00665,,,
19-04-2017,21,52.18,200.06,76.39,38.23,0.00143,-0.01181,-0.00697,-0.00834,0.01981,,,
20-04-2017,21.3,52.79,203.77,77.38,38.65,0.01418,0.01162,0.01837,0.01288,0.01093,,,
21-04-2017,20.97,52.17,202.65,76.45,38.02,-0.01561,-0.01181,-0.00551,-0.01209,-0.01643,,,
24-04-2017,21.82,53.73,208.59,79.14,39.62,0.03973,0.02946,0.02889,0.03458,0.04122,,,
25-04-2017,22.14,54.42,211.78,79.83,40.26,0.01456,0.01276,0.01518,0.00868,0.01602,,,
26-04-2017,22.06,54.32,211.37,79.98,40.35,-0.00362,-0.00184,-0.00194,0.00188,0.00223,,,
27-04-2017,21.84,53.82,211.01,79.24,39.78,-0.01002,-0.00925,-0.0017,-0.0093,-0.01423,,,
28-04-2017,21.55,53.58,209.13,78.69,39.62,-0.01337,-0.00447,-0.00895,-0.00697,-0.00403,,,
1/5/2017,21.8,53.89,210.11,78.75,39.96,0.01153,0.00577,0.00468,0.00076,0.00854,,,
2/5/2017,21.73,54.11,210.36,78.24,39.6,-0.00322,0.00407,0.00119,-0.0065,-0.00905,,,
3/5/2017,21.95,54.59,211.48,78.69,39.72,0.01007,0.00883,0.00531,0.00574,0.00303,,,
4/5/2017,22.02,54.57,211.74,78.78,39.54,0.00318,-0.00037,0.00123,0.00114,-0.00454,,,
5/5/2017,21.92,54.59,212,78.69,39.36,-0.00455,0.00037,0.00123,-0.00114,-0.00456,,,
8/5/2017,22.12,54.83,210.28,78.78,39.3,0.00908,0.00439,-0.00815,0.00114,-0.00153,,,
9/5/2017,22.14,54.58,209.09,78.46,39.13,0.0009,-0.00457,-0.00568,-0.00407,-0.00434,,,
10/5/2017,22.3,54.71,210.14,79.08,39.38,0.0072,0.00238,0.00501,0.00787,0.00637,,,
11/5/2017,22.22,55.01,210.03,78.84,39.17,-0.00359,0.00547,-0.00052,-0.00304,-0.00535,,,
12/5/2017,22.16,55.35,208.21,78.62,39.04,-0.0027,0.00616,-0.0087,-0.00279,-0.00332,,,
15-05-2017,22.21,55.66,210.36,79,39.68,0.00225,0.00559,0.01027,0.00482,0.01626,,,
16-05-2017,22.15,56.63,210.81,79.24,39.63,-0.00271,0.01728,0.00214,0.00303,-0.00126,,,
17-05-2017,20.84,54.36,199.71,76.22,37.43,-0.06096,-0.04091,-0.05409,-0.03886,-0.05711,,,
